,ka_hh,ka_vv,ka_hv,ka_vh,ka_range
0,0.020229390606568688,0.023064651419735935,0.0230158885113689,0.0230158885113689,-2.37
1,0.01355481026901395,0.02026227636041059,0.02022012430613019,0.02022012430613019,-2.36237060546875
2,0.006643310445449865,0.013576615587184737,0.013549952332536757,0.013549952332536757,-2.3547412109375
3,0.0021529953875451414,0.006653672188218712,0.006642295549486671,0.006642295549486671,-2.34711181640625
4,0.00035733516740438297,0.0021561453792252236,0.00215357008196502,0.00215357008196502,-2.339482421875
5,4.260640941446214e-05,0.00035806136502742193,0.00035782385875063566,0.00035782385875063566,-2.33185302734375
6,8.193381704956946e-05,4.344654121435644e-05,4.277024869000045e-05,4.277024869000045e-05,-2.3242236328125
7,7.275225670217098e-05,8.314173574681537e-05,8.22005162748282e-05,8.22005162748282e-05,-2.31659423828125
8,3.484555264136903e-05,7.376292462995129e-05,7.328097687800797e-05,7.328097687800797e-05,-2.30896484375
9,1.5715431436112762e-05,3.537723093894409e-05,3.5407154239693454e-05,3.5407154239693454e-05,-2.30133544921875
10,7.015979353515816e-06,1.5893969775316666e-05,1.6074465939342216e-05,1.6074465939342216e-05,-2.2937060546875
11,8.45177966818824e-07,7.047887156004997e-06,7.152665540723828e-06,7.152665540723828e-06,-2.28607666015625
12,1.2971635081925276e-06,8.406340169589772e-07,8.758107714164418e-07,8.758107714164418e-07,-2.278447265625
13,6.774983430879985e-06,1.3211748624937163e-06,1.328328339123528e-06,1.328328339123528e-06,-2.27081787109375
14,1.0954114507894271e-05,6.8983059010873585e-06,6.845592411489419e-06,6.845592411489419e-06,-2.2631884765625
15,1.1306513338890972e-05,1.120533176480369e-05,1.1049571702806278e-05,1.1049571702806278e-05,-2.25555908203125
16,9.19675284791306e-06,1.1631250106940632e-05,1.139598154660188e-05,1.139598154660188e-05,-2.2479296875
17,6.895006169295968e-06,9.503570718091674e-06,9.265129412804324e-06,9.265129412804324e-06,-2.24030029296875
18,6.109106138616949e-06,7.127507599188717e-06,6.950189635806682e-06,6.950189635806682e-06,-2.2326708984375
19,6.89194439266544e-06,6.266661783417788e-06,6.165773437524948e-06,6.165773437524948e-06,-2.22504150390625
20,7.742983532817916e-06,7.006880975335764e-06,6.955467521281379e-06,6.955467521281379e-06,-2.217412109375
21,7.300607281491612e-06,7.854569571075296e-06,7.80920673973434e-06,7.80920673973434e-06,-2.20978271484375
22,5.519790958339488e-06,7.434437778275492e-06,7.364007933992561e-06,7.364007933992561e-06,-2.2021533203125
23,3.3876559271730256e-06,5.671521563561542e-06,5.5770746461483155e-06,5.5770746461483155e-06,-2.19452392578125
24,1.996801096417429e-06,3.52671154924399e-06,3.4355075483197065e-06,3.4355075483197065e-06,-2.18689453125
25,1.6789247888238863e-06,2.095888531144381e-06,2.0307818473426642e-06,2.0307818473426642e-06,-2.17926513671875
