,ka_hh,ka_vv,ka_hv,ka_vh,ka_range
0,0.020608674723774662,0.023481744022770385,0.0234428310969159,0.0234428310969159,-2.37
1,0.013815137184742083,0.02063225997067871,0.02059716597181703,0.02059716597181703,-2.36237060546875
2,0.006777129511371603,0.013832660378795585,0.013807067568746187,0.013807067568746187,-2.3547412109375
3,0.002200005879343715,0.006787739502431718,0.006772949318808981,0.006772949318808981,-2.34711181640625
4,0.0003653031214644009,0.0022052479450064186,0.0021987800113384076,0.0021987800113384076,-2.339482421875
5,4.1029370497367706e-05,0.0003675291724737191,0.000365619623619924,0.000365619623619924,-2.33185302734375
6,8.070017518638854e-05,4.201831709000275e-05,4.1781991958747726e-05,4.1781991958747726e-05,-2.3242236328125
7,7.252322392391046e-05,8.125960895916086e-05,8.133440944372856e-05,8.133440944372856e-05,-2.31659423828125
8,3.4736233965259134e-05,7.284494122075033e-05,7.289719987629895e-05,7.289719987629895e-05,-2.30896484375
9,1.5480587569922117e-05,3.4864533104110685e-05,3.490419241582901e-05,3.490419241582901e-05,-2.30133544921875
10,6.875598435835635e-06,1.5499674461650577e-05,1.5543607414306986e-05,1.5543607414306986e-05,-2.2937060546875
11,9.238717564279362e-07,6.864890637499177e-06,6.9055756831380016e-06,6.9055756831380016e-06,-2.28607666015625
12,1.2719574727890255e-06,9.150054022245806e-07,9.464148488951491e-07,9.464148488951491e-07,-2.278447265625
13,6.143539580886481e-06,1.290416672527725e-06,1.288620254336152e-06,1.288620254336152e-06,-2.27081787109375
14,9.617841942449198e-06,6.235865707870979e-06,6.155637632679338e-06,6.155637632679338e-06,-2.2631884765625
15,9.659201013926148e-06,9.807734491273203e-06,9.62994629670892e-06,9.62994629670892e-06,-2.25555908203125
16,7.652429699632944e-06,9.909666664328003e-06,9.674794616704343e-06,9.674794616704343e-06,-2.2479296875
17,5.538541720295423e-06,7.897626136922556e-06,7.676039537704696e-06,7.676039537704696e-06,-2.24030029296875
18,4.806816882398867e-06,5.739959746106319e-06,5.578315371285572e-06,5.578315371285572e-06,-2.2326708984375
19,5.559841949577058e-06,4.971332398622032e-06,4.869848634083489e-06,4.869848634083489e-06,-2.22504150390625
20,6.4510813665953205e-06,5.721860473069386e-06,5.645625674279567e-06,5.645625674279567e-06,-2.217412109375
21,6.203910843580965e-06,6.645212327364633e-06,6.550144640383197e-06,6.550144640383197e-06,-2.20978271484375
22,4.735123484914739e-06,6.437901246120303e-06,6.3014483880853505e-06,6.3014483880853505e-06,-2.2021533203125
23,2.9101500222318065e-06,4.9766953769140395e-06,4.8170704083522414e-06,4.8170704083522414e-06,-2.19452392578125
24,1.7139804571314205e-06,3.1067099471486547e-06,2.968783335909403e-06,2.968783335909403e-06,-2.18689453125
25,1.4674083712749426e-06,1.8345715521849987e-06,1.7488988248370471e-06,1.7488988248370471e-06,-2.17926513671875
26,1.634475228545324e-06,1.5275048261400147e-06,1.4818714474628597e-06,1.4818714474628597e-06,-2.1716357421875
27,1.522344885102997e-06,1.6797574785103102e-06,1.6328301489288165e-06,1.6328301489288165e-06,-2.16400634765625
28,1.0234390710706753e-06,1.5884096509041225e-06,1.5109602979815294e-06,1.5109602979815294e-06,-2.156376953125
29,4.892765024440583e-07,1.1095858179554473e-06,1.0105204764669816e-06,1.0105204764669816e-06,-2.14874755859375
30,1.672865527878076e-07,5.68211104041205e-07,4.810085979815352e-07,4.810085979815352e-07,-2.1411181640625
31,3.43406197021282e-08,2.1595178984479075e-07,1.647214497153322e-07,1.647214497153322e-07,-2.13348876953125
32,2.2693692995649065e-09,5.206638764189142e-08,3.478721531398271e-08,3.478721531398271e-08,-2.125859375
33,6.579935483358285e-08,2.602458507020334e-09,2.8341783329145726e-09,2.8341783329145726e-09,-2.11822998046875
34,3.024342757847806e-07,5.7944864383455074e-08,6.54530738288426e-08,6.54530738288426e-08,-2.1106005859375
35,8.261642765050792e-07,2.736849040794175e-07,3.0221584282423095e-07,3.0221584282423095e-07,-2.10297119140625
36,1.6987589631248648e-06,7.158992322448702e-07,8.283899396603417e-07,8.283899396603417e-07,-2.095341796875
37,2.788826235841626e-06,1.3741141651939665e-06,1.705554906567613e-06,1.705554906567613e-06,-2.08771240234375
38,3.7016227218302e-06,2.0761951198207016e-06,2.801096853704833e-06,2.801096853704833e-06,-2.0800830078125
39,3.952502085020621e-06,2.5046099294891552e-06,3.719840681862043e-06,3.719840681862043e-06,-2.07245361328125
40,3.333444555729992e-06,2.3815398845534046e-06,3.978174791249183e-06,3.978174791249183e-06,-2.06482421875
41,2.131701711038032e-06,1.7157016337734292e-06,3.3681540363505784e-06,3.3681540363505784e-06,-2.05719482421875
