,ku_hh,ku_vv,ku_hv,ku_vh,ku_range
59,1.6728745832974657e-07,2.9359610192804416e-07,2.4848374633694277e-07,2.4848374633694277e-07,-1.91986572265625
60,1.5264844092790287e-07,2.8072194270664596e-07,2.4172818647983804e-07,2.4172818647983804e-07,-1.912236328125
61,1.0835628343816337e-07,2.3255066667475095e-07,2.0033413347298625e-07,2.0033413347298625e-07,-1.90460693359375
62,5.7545006230676836e-08,1.5404393545083906e-07,1.2533252849707412e-07,1.2533252849707412e-07,-1.8969775390625
63,3.3809341373840415e-08,7.867394201556498e-08,4.895528523993358e-08,4.895528523993358e-08,-1.88934814453125
64,5.256998849727042e-08,4.64628657315922e-08,1.5456247552207657e-08,1.5456247552207657e-08,-1.88171875
65,1.0462937631354333e-07,6.85344036013083e-08,4.578803321106444e-08,4.578803321106444e-08,-1.87408935546875
66,1.695223726831485e-07,1.224170590489916e-07,1.2828788430306632e-07,1.2828788430306632e-07,-1.8664599609375
67,2.2644343078521422e-07,1.7646945302344803e-07,2.3454912204125986e-07,2.3454912204125986e-07,-1.85883056640625
68,2.594107067492484e-07,2.1031154036369454e-07,3.327010433668572e-07,3.327010433668572e-07,-1.851201171875
69,2.682446765279364e-07,2.1782293988230355e-07,3.9004065769881374e-07,3.9004065769881374e-07,-1.84357177734375
70,2.8346096898607816e-07,2.040791424937023e-07,3.797029959262448e-07,3.797029959262448e-07,-1.8359423828125
71,3.612132692685964e-07,1.8477277571099582e-07,3.006547062786936e-07,3.006547062786936e-07,-1.82831298828125
72,5.416793889667205e-07,1.8166108219823012e-07,1.9544759278977957e-07,1.9544759278977957e-07,-1.82068359375
73,7.987214187215587e-07,2.070252182585335e-07,1.368639261420615e-07,1.368639261420615e-07,-1.81305419921875
74,1.0361653707335082e-06,2.4807340217168286e-07,1.7933820445322847e-07,1.7933820445322847e-07,-1.8054248046875
75,1.1454918328586423e-06,2.721340967379457e-07,3.13084086296667e-07,3.13084086296667e-07,-1.79779541015625
76,1.0748533973038812e-06,2.535463645543285e-07,4.6413328700403937e-07,4.6413328700403937e-07,-1.790166015625
77,8.535620353864388e-07,1.9651156649782352e-07,5.426486994506115e-07,5.426486994506115e-07,-1.78253662109375
78,5.655767493624893e-07,1.3168785422536723e-07,5.019515411154725e-07,5.019515411154725e-07,-1.7749072265625
79,3.01143560651807e-07,9.154049187360039e-08,3.6527810016764343e-07,3.6527810016764343e-07,-1.76727783203125
80,1.1708436893630128e-07,8.701097879609768e-08,2.0225141329973054e-07,2.0225141329973054e-07,-1.7596484375
81,2.7047306766268282e-08,1.040073587515755e-07,7.734624734122547e-08,7.734624734122547e-08,-1.75201904296875
82,2.30647940941296e-08,1.2080145873829688e-07,1.8205759343157876e-08,1.8205759343157876e-08,-1.7443896484375
83,9.968620254347626e-08,1.2944006493575284e-07,2.739664111262556e-08,2.739664111262556e-08,-1.73676025390625
84,2.496757693364718e-07,1.4357758481036732e-07,1.079447567000136e-07,1.079447567000136e-07,-1.729130859375
85,4.38752769139388e-07,1.914785069782999e-07,2.607975614824677e-07,2.607975614824677e-07,-1.72150146484375
86,5.967204090348057e-07,2.983621214893389e-07,4.5703687478181677e-07,4.5703687478181677e-07,-1.7138720703125
87,6.465924240907895e-07,4.5633954402119727e-07,6.2539818009046e-07,6.2539818009046e-07,-1.70624267578125
88,5.552626641593051e-07,6.000830342281415e-07,6.819222041845875e-07,6.819222041845875e-07,-1.69861328125
89,3.6478064941172036e-07,6.337587686718611e-07,5.867294217624202e-07,5.867294217624202e-07,-1.69098388671875
90,1.7002215707807587e-07,5.141087453335705e-07,3.819535765953567e-07,3.819535765953567e-07,-1.6833544921875
91,5.231636734205616e-08,3.0778927408227887e-07,1.6970523899463602e-07,1.6970523899463602e-07,-1.67572509765625
92,2.727840660677335e-08,1.4394491436405051e-07,3.929194093661785e-08,3.929194093661785e-08,-1.668095703125
93,5.515982444477234e-08,1.0322559157762591e-07,8.754211867563235e-09,8.754211867563235e-09,-1.66046630859375
94,9.271343281594693e-08,1.6204907139745874e-07,3.4628840997165336e-08,3.4628840997165336e-08,-1.6528369140625
95,1.2478239066259088e-07,2.3851508406731223e-07,6.841483117032378e-08,6.841483117032378e-08,-1.64520751953125
96,1.524546461567797e-07,2.717100365404997e-07,9.400645904326222e-08,9.400645904326222e-08,-1.637578125
97,1.7038522250961267e-07,2.538922274807819e-07,1.1831836620063191e-07,1.1831836620063191e-07,-1.62994873046875
98,1.6588415276647927e-07,2.0820241772398784e-07,1.4413190404620163e-07,1.4413190404620163e-07,-1.6223193359375
99,1.344184037229314e-07,1.559261345247423e-07,1.5998387023731324e-07,1.5998387023731324e-07,-1.61468994140625
100,8.80929925777653e-08,1.0661502685891699e-07,1.5112257855632613e-07,1.5112257855632613e-07,-1.607060546875
101,4.746935264185591e-08,6.792509667982217e-08,1.1500053854130201e-07,1.1500053854130201e-07,-1.59943115234375
102,2.607568486518874e-08,5.191859318035638e-08,6.60262967761581e-08,6.60262967761581e-08,-1.5918017578125
103,2.2346732844987603e-08,6.546327171972704e-08,2.5856710553561807e-08,2.5856710553561807e-08,-1.58417236328125
104,2.5104850790520283e-08,9.760261146121276e-08,8.326568982110334e-09,8.326568982110334e-09,-1.57654296875
105,2.5389027025558394e-08,1.2337808829546535e-07,1.2440992465217761e-08,1.2440992465217761e-08,-1.56891357421875
106,2.2515422097967757e-08,1.2291614456788703e-07,2.7502967101211964e-08,2.7502967101211964e-08,-1.5612841796875
107,2.0436216308932084e-08,9.578576375804236e-08,4.2525340960280506e-08,4.2525340960280506e-08,-1.55365478515625
108,2.107057778709506e-08,5.7759266376575886e-08,5.1368364724719064e-08,5.1368364724719064e-08,-1.546025390625
109,2.215517226360483e-08,2.6865995885999086e-08,5.272259757936644e-08,5.272259757936644e-08,-1.53839599609375
110,2.016396807497326e-08,1.2788074165401937e-08,4.8428459936728905e-08,4.8428459936728905e-08,-1.5307666015625
111,1.4116126835191368e-08,1.5452261403481854e-08,4.195877251548102e-08,4.195877251548102e-08,-1.52313720703125
112,7.223257595507121e-09,2.9574078544498867e-08,3.692710050215102e-08,3.692710050215102e-08,-1.5155078125
113,5.759635641735712e-09,5.0164593043343925e-08,3.597163351753362e-08,3.597163351753362e-08,-1.50787841796875
114,1.521729824368372e-08,7.613569684381593e-08,4.058868559696264e-08,4.058868559696264e-08,-1.5002490234375
115,3.5121861129370214e-08,1.1022562931667963e-07,5.099733010353048e-08,5.099733010353048e-08,-1.49261962890625
116,5.6871952784832525e-08,1.5405900222310032e-07,6.481762001506542e-08,6.481762001506542e-08,-1.484990234375
117,6.864557361004021e-08,2.004285406789751e-07,7.607313803937907e-08,7.607313803937907e-08,-1.47736083984375
118,6.452877064858724e-08,2.301055618417773e-07,7.771507639786547e-08,7.771507639786547e-08,-1.4697314453125
119,4.8865503402260135e-08,2.2096308743560196e-07,6.711075796482412e-08,6.711075796482412e-08,-1.46210205078125
120,3.122178810604421e-08,1.6739714337359525e-07,4.883615231184009e-08,4.883615231184009e-08,-1.45447265625
121,1.8248778344278903e-08,9.424888195039706e-08,3.1006749834826465e-08,3.1006749834826465e-08,-1.44684326171875
122,1.1394042575933256e-08,4.8096758258929395e-08,1.9118542760799392e-08,1.9118542760799392e-08,-1.4392138671875
123,1.0415753965138225e-08,6.712730708223756e-08,1.4084987945782441e-08,1.4084987945782441e-08,-1.43158447265625
124,1.5613714061576898e-08,1.525236387717349e-07,1.4902995583363432e-08,1.4902995583363432e-08,-1.423955078125
125,2.5944564180169253e-08,2.6537666011116033e-07,2.0731402008165707e-08,2.0731402008165707e-08,-1.41632568359375
126,3.735391609579119e-08,3.512755877344848e-07,2.9877599396338395e-08,2.9877599396338395e-08,-1.4086962890625
127,4.482250855697063e-08,3.726953193893029e-07,3.8677868037747734e-08,3.8677868037747734e-08,-1.40106689453125
128,4.5675617051453524e-08,3.2695466819760436e-07,4.304973662737444e-08,4.304973662737444e-08,-1.3934375
129,4.015890576224853e-08,2.416869224692166e-07,4.109845616949879e-08,4.109845616949879e-08,-1.38580810546875
130,2.966487087208012e-08,1.5476565387333756e-07,3.367512125509966e-08,3.367512125509966e-08,-1.3781787109375
131,1.640787949004095e-08,9.262311344522845e-08,2.2987259758635337e-08,2.2987259758635337e-08,-1.37054931640625
132,5.485862530296608e-09,5.987602577958481e-08,1.2258779611787726e-08,1.2258779611787726e-08,-1.362919921875
133,4.712563118455594e-09,4.512728084945065e-08,7.1990213667293265e-09,7.1990213667293265e-09,-1.35529052734375
