,ku_hh,ku_vv,ku_hv,ku_vh,ku_range
0,0.02043105283924014,0.0232864935414694,0.02325764010652708,0.02325764010652708,-2.37
1,0.013692391051375374,0.020459348443953276,0.02043417991561304,0.02043417991561304,-2.36237060546875
2,0.006713545616095498,0.013713756576979996,0.013697261160999362,0.013697261160999362,-2.3547412109375
3,0.002177764765883501,0.006726474141419247,0.006718668047743989,0.006718668047743989,-2.34711181640625
4,0.00036191603467976193,0.002183628306759477,0.0021810777201159864,0.0021810777201159864,-2.339482421875
5,4.2052587659792244e-05,0.00036364814932818485,0.0003628613554061423,0.0003628613554061423,-2.33185302734375
6,8.122183349154485e-05,4.233618008705363e-05,4.171025976550174e-05,4.171025976550174e-05,-2.3242236328125
7,7.242754464388663e-05,8.140862783162952e-05,8.085773485070686e-05,8.085773485070686e-05,-2.31659423828125
8,3.4646101584474665e-05,7.269342366540548e-05,7.244419563923261e-05,7.244419563923261e-05,-2.30896484375
9,1.552904222614099e-05,3.479909514083697e-05,3.480094206469608e-05,3.480094206469608e-05,-2.30133544921875
10,6.944985166460889e-06,1.5539383949193204e-05,1.5598815691342337e-05,1.5598815691342337e-05,-2.2937060546875
11,9.553287126353568e-07,6.914460863264032e-06,6.941644429937262e-06,6.941644429937262e-06,-2.28607666015625
12,1.302724050514415e-06,9.35292100369037e-07,9.489594279799146e-07,9.489594279799146e-07,-2.278447265625
13,6.21270649395645e-06,1.2989123933222909e-06,1.2996143107044068e-06,1.2996143107044068e-06,-2.27081787109375
14,9.707346447252368e-06,6.26535712424121e-06,6.194425472801538e-06,6.194425472801538e-06,-2.2631884765625
15,9.728764929468652e-06,9.861727332708356e-06,9.674501270562064e-06,9.674501270562064e-06,-2.25555908203125
16,7.695876781197618e-06,9.963944390337089e-06,9.690719684842925e-06,9.690719684842925e-06,-2.2479296875
17,5.580689948952287e-06,7.941410866931803e-06,7.659265509164273e-06,7.659265509164273e-06,-2.24030029296875
18,4.864960885411115e-06,5.784232046761225e-06,5.551877928689649e-06,5.551877928689649e-06,-2.2326708984375
19,5.630356401374563e-06,5.016264662441123e-06,4.84620359960635e-06,4.84620359960635e-06,-2.22504150390625
20,6.521899585297905e-06,5.744878685323959e-06,5.6169000160898656e-06,5.6169000160898656e-06,-2.217412109375
21,6.263515617893379e-06,6.627153153339337e-06,6.511788248917741e-06,6.511788248917741e-06,-2.20978271484375
22,4.774266481255128e-06,6.3847464455227335e-06,6.263845052024326e-06,6.263845052024326e-06,-2.2021533203125
23,2.925119823636615e-06,4.911606774339287e-06,4.791275775147703e-06,4.791275775147703e-06,-2.19452392578125
24,1.7092703636416444e-06,3.0506507469349932e-06,2.9541378605955916e-06,2.9541378605955916e-06,-2.18689453125
25,1.4535102908690096e-06,1.7983454957717173e-06,1.739783606238961e-06,1.739783606238961e-06,-2.17926513671875
26,1.622749231510505e-06,1.5151885117604988e-06,1.4794362010186086e-06,1.4794362010186086e-06,-2.1716357421875
27,1.5200654694858059e-06,1.6913048612277968e-06,1.6430803426142696e-06,1.6430803426142696e-06,-2.16400634765625
28,1.0312250345426524e-06,1.617534033327138e-06,1.5331992396079552e-06,1.5331992396079552e-06,-2.156376953125
29,5.024847207954178e-07,1.143950635075274e-06,1.0344206081877298e-06,1.0344206081877298e-06,-2.14874755859375
30,1.798646308865653e-07,5.958030969032478e-07,4.966678115661321e-07,4.966678115661321e-07,-2.1411181640625
31,4.162572406407619e-08,2.3148387144162757e-07,1.7111192903631345e-07,1.7111192903631345e-07,-2.13348876953125
32,1.4934695520601724e-09,5.717703006176344e-08,3.66090853936409e-08,3.66090853936409e-08,-2.125859375
33,5.5748325273265996e-08,1.8229745462396723e-09,2.684876149634e-09,2.684876149634e-09,-2.11822998046875
34,2.835810306105119e-07,5.5475724402507685e-08,6.077621436525483e-08,6.077621436525483e-08,-2.1106005859375
35,8.009506873515254e-07,2.724407389471924e-07,2.874105623173829e-07,2.874105623173829e-07,-2.10297119140625
36,1.6708285468528133e-06,7.175617962460722e-07,7.991594651883656e-07,7.991594651883656e-07,-2.095341796875
37,2.761213785128722e-06,1.3790319223047112e-06,1.6639772352843263e-06,1.6639772352843263e-06,-2.08771240234375
38,3.6757999874135165e-06,2.0829278920716695e-06,2.7577889515393236e-06,2.7577889515393236e-06,-2.0800830078125
39,3.929463886278467e-06,2.5101415149642817e-06,3.6891309037974505e-06,3.6891309037974505e-06,-2.07245361328125
40,3.315196640274477e-06,2.383284631815497e-06,3.9689364295541655e-06,3.9689364295541655e-06,-2.06482421875
41,2.120987350465821e-06,1.7143624629245327e-06,3.3786187827392237e-06,3.3786187827392237e-06,-2.05719482421875
42,9.52565436870325e-07,8.627297705826965e-07,2.194046561991964e-06,2.194046561991964e-06,-2.0495654296875
43,3.431321906903006e-07,3.03033446638346e-07,1.0145536303058565e-06,1.0145536303058565e-06,-2.04193603515625
44,5.124684332987971e-07,3.176228043245618e-07,3.7385231746708665e-07,3.7385231746708665e-07,-2.034306640625
45,1.3790279141120647e-06,8.897662118651885e-07,4.965959947763922e-07,4.965959947763922e-07,-2.02667724609375
46,2.6484158646961047e-06,1.8164523401549037e-06,1.3076769391769239e-06,1.3076769391769239e-06,-2.0190478515625
47,3.853327235349675e-06,2.8370435907143525e-06,2.5194532092412004e-06,2.5194532092412004e-06,-2.01141845703125
48,4.4542872697748e-06,3.6459701263184943e-06,3.671692702280133e-06,3.671692702280133e-06,-2.0037890625
49,4.1212837111442986e-06,3.903775655438224e-06,4.2328466478729766e-06,4.2328466478729766e-06,-1.99615966796875
50,3.0099155913749096e-06,3.4149242315953515e-06,3.881816045477717e-06,3.881816045477717e-06,-1.9885302734375
51,1.6836286638878605e-06,2.35406097609352e-06,2.781908341608578e-06,2.781908341608578e-06,-1.98090087890625
52,6.852282061799597e-07,1.213105832235823e-06,1.4979820813823437e-06,1.4979820813823437e-06,-1.973271484375
53,1.9134966932407178e-07,4.350196033828397e-07,5.641715861889624e-07,5.641715861889624e-07,-1.96564208984375
54,5.463357723798898e-08,1.2176421921976313e-07,1.4116619680223272e-07,1.4116619680223272e-07,-1.9580126953125
55,6.15464719128462e-08,9.883147456748881e-08,6.630166571314479e-08,6.630166571314479e-08,-1.95038330078125
56,9.178633151384705e-08,1.6334277116189478e-07,1.1724917936846854e-07,1.1724917936846854e-07,-1.94275390625
