,ku_hh,ku_vv,ku_hv,ku_range,ku_vh
0,0.020337265230000626,0.023197083770801666,0.023112911483061514,-2.37,0.023112911483061514
1,0.01363103260535168,0.02038053402186932,0.020305373408352048,-2.36237060546875,0.020305373408352048
2,0.006685069959056018,0.013660363305506124,0.01360713528846421,-2.3547412109375,0.01360713528846421
3,0.002169686972260994,0.006699771214642095,0.006670404091304808,-2.34711181640625,0.006670404091304808
4,0.00036099986267860843,0.0021747476890739887,0.002162633716400232,-2.339482421875,0.002162633716400232
5,4.155686974307261e-05,0.0003622405020786716,0.0003589732814479257,-2.33185302734375,0.0003589732814479257
6,8.011205892722971e-05,4.226408781859555e-05,4.2233726373110586e-05,-2.3242236328125,4.2233726373110586e-05
7,7.153614771788695e-05,8.094808474378051e-05,8.170458438870885e-05,-2.31659423828125,8.170458438870885e-05
8,3.4411557603609065e-05,7.216206090686612e-05,7.285429764521328e-05,-2.30896484375,7.285429764521328e-05
9,1.5740944136212192e-05,3.46728747034027e-05,3.5002929886944e-05,-2.30133544921875,3.5002929886944e-05
10,7.165652222980247e-06,1.5790839404241824e-05,1.578738912328044e-05,-2.2937060546875,1.578738912328044e-05
11,9.379093179824736e-07,7.160670347558531e-06,7.059200067513421e-06,-2.28607666015625,7.059200067513421e-06
12,1.1906355759857827e-06,9.248630297260579e-07,9.099872488735365e-07,-2.278447265625,9.099872488735365e-07
13,6.343088048262708e-06,1.2034662200278586e-06,1.2571566421662252e-06,-2.27081787109375,1.2571566421662252e-06
14,1.0220507744050669e-05,6.453706977567476e-06,6.439470661884206e-06,-2.2631884765625,6.439470661884206e-06
15,1.0451541781228157e-05,1.0470491651444759e-05,1.0305373961861075e-05,-2.25555908203125,1.0305373961861075e-05
16,8.382328935693422e-06,1.0797451324388385e-05,1.0524011854664675e-05,-2.2479296875,1.0524011854664675e-05
17,6.149931114669474e-06,8.737114641624786e-06,8.463649186166834e-06,-2.24030029296875,8.463649186166834e-06
18,5.391157092835225e-06,6.455429838916549e-06,6.263251865036115e-06,-2.2326708984375,6.263251865036115e-06
19,6.1956339172497685e-06,5.642483502087636e-06,5.546950943829367e-06,-2.22504150390625,5.546950943829367e-06
20,7.125461249049437e-06,6.420534510343893e-06,6.3864408109300625e-06,-2.217412109375,6.3864408109300625e-06
21,6.835395300248925e-06,7.3543778127653695e-06,7.329011528022816e-06,-2.20978271484375,7.329011528022816e-06
22,5.240328770553229e-06,7.076957719747725e-06,7.023201580151671e-06,-2.2021533203125,7.023201580151671e-06
23,3.261422523935997e-06,5.471076764677055e-06,5.389780506519033e-06,-2.19452392578125,5.389780506519033e-06
24,1.946535936765489e-06,3.441752069785385e-06,3.3640892406647155e-06,-2.18689453125,3.3640892406647155e-06
25,1.6357140424401937e-06,2.0544440525320954e-06,2.005549543480722e-06,-2.17926513671875,2.005549543480722e-06
26,1.7665237435604722e-06,1.6876909566267866e-06,1.657999293856878e-06,-2.1716357421875,1.657999293856878e-06
27,1.6141093689518783e-06,1.8045807861791341e-06,1.7606186990127723e-06,-2.16400634765625,1.7606186990127723e-06
28,1.065666522701389e-06,1.670490320328729e-06,1.5923623181380762e-06,-2.156376953125,1.5923623181380762e-06
29,4.899376773911052e-07,1.1387448510768447e-06,1.0422559471724948e-06,-2.14874755859375,1.0422559471724948e-06
30,1.4956645083234243e-07,5.537066638257431e-07,4.745148887240137e-07,-2.1411181640625,4.745148887240137e-07
31,2.0831458622676002e-08,1.8384992167374237e-07,1.4381557156659688e-07,-2.13348876953125,1.4381557156659688e-07
32,4.918670025028542e-09,2.8846345963221257e-08,2.0869112367190936e-08,-2.125859375,2.0869112367190936e-08
33,8.669165066373959e-08,4.227302893887328e-09,5.798956129361029e-09,-2.11822998046875,5.798956129361029e-09
34,3.379698686947575e-07,8.902332036586286e-08,8.519124980765387e-08,-2.1106005859375,8.519124980765387e-08
35,8.69540225605183e-07,3.294332226473338e-07,3.331131242024354e-07,-2.10297119140625,3.331131242024354e-07
36,1.7412213798159308e-06,7.835835038674371e-07,8.62040877391058e-07,-2.095341796875,8.62040877391058e-07
37,2.820473201709415e-06,1.4364699009907789e-06,1.7329644456500917e-06,-2.08771240234375,1.7329644456500917e-06
38,3.712921407393953e-06,2.11703181336511e-06,2.8146108938539275e-06,-2.0800830078125,2.8146108938539275e-06
39,3.93852266459098e-06,2.5144523442909183e-06,3.714306587476306e-06,-2.07245361328125,3.714306587476306e-06
40,3.298937669239457e-06,2.362159823789357e-06,3.953070626390848e-06,-2.06482421875,3.953070626390848e-06
41,2.0914220054849802e-06,1.6814568932725883e-06,3.3304354011226397e-06,-2.05719482421875,3.3304354011226397e-06
42,9.264294834958749e-07,8.354545817184471e-07,2.136753391663044e-06,-2.0495654296875,2.136753391663044e-06
43,3.3465482809131167e-07,2.960117606123764e-07,9.731010996954629e-07,-2.04193603515625,9.731010996954629e-07
44,5.275778835373794e-07,3.3872712854613733e-07,3.635667745833188e-07,-2.034306640625,3.635667745833188e-07
