,ka_hh,ka_vv,ka_hv,ka_vh,ka_range
0,0.020866807492991673,0.023882307783089158,0.023362061418744966,0.023362061418744966,-2.37
1,0.013957269227533601,0.020966052462114644,0.020526227996275268,0.020526227996275268,-2.36237060546875
2,0.006821218743772617,0.014018358255889438,0.01375954536146254,0.01375954536146254,-2.3547412109375
3,0.0022016873289671707,0.006844653465532853,0.006749669282083403,0.006749669282083403,-2.34711181640625
4,0.0003579428098154435,0.002204337270677465,0.00219139532260196,0.00219139532260196,-2.339482421875
5,2.5642472371186962e-05,0.0003571632285819422,0.0003647946837844421,0.0003647946837844421,-2.33185302734375
6,5.430305571698154e-05,2.866172235986159e-05,4.210914773508134e-05,4.210914773508134e-05,-2.3242236328125
7,4.41936571344322e-05,5.9407076346397915e-05,8.121363041037396e-05,8.121363041037396e-05,-2.31659423828125
8,1.5364381111658187e-05,4.796298767867397e-05,7.250196707498952e-05,7.250196707498952e-05,-2.30896484375
9,6.534400813281465e-06,1.7115405331000024e-05,3.4701915557051734e-05,3.4701915557051734e-05,-2.30133544921875
10,3.720861298756747e-06,7.446464692586626e-06,1.562893125895032e-05,1.562893125895032e-05,-2.2937060546875
11,2.621285061283866e-07,4.432411683542843e-06,6.9754648775647236e-06,6.9754648775647236e-06,-2.28607666015625
12,1.8923961222765988e-06,4.7340574306349964e-07,8.205119174434248e-07,8.205119174434248e-07,-2.278447265625
13,6.606125138794495e-06,1.4530171798706506e-06,1.310900923617656e-06,1.310900923617656e-06,-2.27081787109375
14,8.674652285182252e-06,5.904992676901832e-06,6.8622585079108966e-06,6.8622585079108966e-06,-2.2631884765625
15,7.623976493741974e-06,8.055934874505107e-06,1.1114861005615264e-05,1.1114861005615264e-05,-2.25555908203125
16,5.589459710423019e-06,7.108366229655742e-06,1.1508112171764067e-05,1.1508112171764067e-05,-2.2479296875
17,3.7669663449907723e-06,5.221651387552093e-06,9.3930349620778e-06,9.3930349620778e-06,-2.24030029296875
18,3.065062274663401e-06,3.7325863897115074e-06,7.048542127738825e-06,7.048542127738825e-06,-2.2326708984375
19,3.991312743587445e-06,3.3680849732942753e-06,6.205535214798649e-06,6.205535214798649e-06,-2.22504150390625
20,5.619424000581319e-06,4.415525507120851e-06,6.93634856233422e-06,6.93634856233422e-06,-2.217412109375
21,6.3670483107659985e-06,6.10691096404525e-06,7.752731929597454e-06,7.752731929597454e-06,-2.20978271484375
22,5.62891824970399e-06,7.0637238194312235e-06,7.300742713973695e-06,7.300742713973695e-06,-2.2021533203125
23,4.192874748821181e-06,6.407432815220062e-06,5.53032579007239e-06,5.53032579007239e-06,-2.19452392578125
24,3.2760693642108694e-06,4.464948574782469e-06,3.4112049323586924e-06,3.4112049323586924e-06,-2.18689453125
25,3.2496652811187758e-06,2.5358261882990328e-06,2.0242595197667233e-06,2.0242595197667233e-06,-2.17926513671875
26,3.3709055095641406e-06,1.6558685299667087e-06,1.7043534454714724e-06,1.7043534454714724e-06,-2.1716357421875
27,2.824897830661427e-06,1.6144015226894867e-06,1.8484631960254619e-06,1.8484631960254619e-06,-2.16400634765625
28,1.6879458061763742e-06,1.5159532100420896e-06,1.6921050728896176e-06,1.6921050728896176e-06,-2.156376953125
29,6.409181829910264e-07,9.921216113397923e-07,1.1168697455280593e-06,1.1168697455280593e-06,-2.14874755859375
30,1.167914545347964e-07,3.940775628445872e-07,5.127561374194462e-07,5.127561374194462e-07,-2.1411181640625
31,4.334877963218144e-08,9.593128216386276e-08,1.587976248637391e-07,1.587976248637391e-07,-2.13348876953125
32,1.70443342763653e-07,1.0366408512326355e-07,2.784650876583646e-08,2.784650876583646e-08,-2.125859375
33,3.504456507168493e-07,2.460592504315245e-07,9.829318596860245e-09,9.829318596860245e-09,-2.11822998046875
34,5.628532627027102e-07,4.194852578835051e-07,8.592658755731222e-08,8.592658755731222e-08,-2.1106005859375
35,8.468450767154156e-07,6.189427826871419e-07,3.331313685779427e-07,3.331313685779427e-07,-2.10297119140625
36,1.2523524777033899e-06,8.690028708908446e-07,8.687182502608888e-07,8.687182502608888e-07,-2.095341796875
37,1.7876612657935456e-06,1.1675483498699615e-06,1.7543174657851354e-06,1.7543174657851354e-06,-2.08771240234375
38,2.3476617309969636e-06,1.4547525946832553e-06,2.8522946302773766e-06,2.8522946302773766e-06,-2.0800830078125
39,2.709378842259559e-06,1.6118251663191537e-06,3.7582351294357245e-06,3.7582351294357245e-06,-2.07245361328125
40,2.66847541854559e-06,1.5244599068060982e-06,3.984661053605059e-06,3.984661053605059e-06,-2.06482421875
41,2.2055983209480123e-06,1.196322116461442e-06,3.336223200750426e-06,3.336223200750426e-06,-2.05719482421875
42,1.507087395030522e-06,7.941794488154367e-07,2.122067742654049e-06,2.122067742654049e-06,-2.0495654296875
43,8.52988887512777e-07,5.452413186377819e-07,9.624178690924414e-07,9.624178690924414e-07,-2.04193603515625
44,5.194859390400876e-07,5.894102687876767e-07,3.861264889406949e-07,3.861264889406949e-07,-2.034306640625
45,7.27085063263524e-07,9.426127265901684e-07,5.913981666315728e-07,5.913981666315728e-07,-2.02667724609375
46,1.5350491506695725e-06,1.5619573424115065e-06,1.4686728852414141e-06,1.4686728852414141e-06,-2.0190478515625
47,2.6858095363758383e-06,2.361470626774651e-06,2.7004795490580345e-06,2.7004795490580345e-06,-2.01141845703125
48,3.6122627682436204e-06,3.1245170874868794e-06,3.811359474510798e-06,3.811359474510798e-06,-2.0037890625
49,3.768883670058965e-06,3.486304385480966e-06,4.279184863263134e-06,4.279184863263134e-06,-1.99615966796875
50,3.0601953851764196e-06,3.1596167124898983e-06,3.821231574088881e-06,3.821231574088881e-06,-1.9885302734375
51,1.913131882096963e-06,2.2344499397519037e-06,2.6525536520327258e-06,2.6525536520327258e-06,-1.98090087890625
52,8.951565963754719e-07,1.1672487633973057e-06,1.3686812331182809e-06,1.3686812331182809e-06,-1.973271484375
53,2.977334978293272e-07,4.1105899679134015e-07,4.898394116538234e-07,4.898394116538234e-07,-1.96564208984375
54,7.338988944673112e-08,9.670632191423816e-08,1.3301644344114135e-07,1.3301644344114135e-07,-1.9580126953125
55,4.453163819504388e-08,7.316329121838967e-08,1.004207453352922e-07,1.004207453352922e-07,-1.95038330078125
56,7.970319915929957e-08,1.445657181390222e-07,1.6425335607899387e-07,1.6425335607899387e-07,-1.94275390625
57,1.2286697025914474e-07,2.0418610385692238e-07,2.156837423444134e-07,2.156837423444134e-07,-1.93512451171875
58,1.5616372264243144e-07,2.2082734325843396e-07,2.384850982085925e-07,2.384850982085925e-07,-1.9274951171875
59,1.7114780519084219e-07,1.9666408634474266e-07,2.433772914808891e-07,2.433772914808891e-07,-1.91986572265625
60,1.615796598803558e-07,1.4777584454850235e-07,2.3232893971447336e-07,2.3232893971447336e-07,-1.912236328125
61,1.293645424595547e-07,9.241708243373667e-08,1.9444295559957178e-07,1.9444295559957178e-07,-1.90460693359375
62,8.854659154756632e-08,4.4965713154690495e-08,1.2774531485531146e-07,1.2774531485531146e-07,-1.8969775390625
63,5.804023513462703e-08,1.6301876113958125e-08,5.82327446419102e-08,5.82327446419102e-08,-1.88934814453125
64,5.176206614407168e-08,1.1226614683934242e-08,2.5565586756584528e-08,2.5565586756584528e-08,-1.88171875
65,7.555730306944498e-08,2.517541939148251e-08,5.2199720556418326e-08,5.2199720556418326e-08,-1.87408935546875
66,1.2696350780716023e-07,4.8550097339542047e-08,1.3220367601289682e-07,1.3220367601289682e-07,-1.8664599609375
67,1.9368317037816457e-07,7.392376735870112e-08,2.4111478323790594e-07,2.4111478323790594e-07,-1.85883056640625
68,2.5704656491466214e-07,9.742626567594206e-08,3.453431311687734e-07,3.453431311687734e-07,-1.851201171875
69,3.086716842739458e-07,1.1585095720948693e-07,4.0618652678486704e-07,4.0618652678486704e-07,-1.84357177734375
70,3.7344016013597964e-07,1.2686481194499418e-07,3.916705423071814e-07,3.916705423071814e-07,-1.8359423828125
71,5.092623162458484e-07,1.3487133910428135e-07,3.0177004176697883e-07,3.0177004176697883e-07,-1.82831298828125
72,7.6087105906442e-07,1.542117037344123e-07,1.8728437468297424e-07,1.8728437468297424e-07,-1.82068359375
73,1.0992123980830265e-06,1.9825656127027286e-07,1.3126357453017756e-07,1.3126357453017756e-07,-1.81305419921875
74,1.4150988294195349e-06,2.6062364040111746e-07,1.9177927357896637e-07,1.9177927357896637e-07,-1.8054248046875
75,1.5850124646448322e-06,3.1272844160121465e-07,3.513028290591032e-07,3.513028290591032e-07,-1.79779541015625
76,1.5449657918963334e-06,3.2620158144525204e-07,5.210663099568035e-07,5.210663099568035e-07,-1.790166015625
77,1.3097499236557556e-06,2.960592336305612e-07,5.999661178929565e-07,5.999661178929565e-07,-1.78253662109375
78,9.47638576025423e-07,2.399072400938193e-07,5.417628568061365e-07,5.417628568061365e-07,-1.7749072265625
79,5.524618610742349e-07,1.7941126128869793e-07,3.8097721135174913e-07,3.8097721135174913e-07,-1.76727783203125
80,2.220323795697161e-07,1.2659101190283268e-07,2.0065115848301586e-07,2.0065115848301586e-07,-1.7596484375
81,3.2247710772545074e-08,8.453271689377996e-08,7.17700447703222e-08,7.17700447703222e-08,-1.75201904296875
82,1.5096454714133862e-08,5.69548054210841e-08,1.9128419087157787e-08,1.9128419087157787e-08,-1.7443896484375
83,1.5446135169967293e-07,5.8504489108865326e-08,3.7555825851223454e-08,3.7555825851223454e-08,-1.73676025390625
