,ka_hh,ka_vv,ka_hv,ka_vh,ka_range
0,0.020497425874196555,0.023367753557794326,0.023336344133616772,0.023336344133616772,-2.37
1,0.013736792324339653,0.02052972310569325,0.020502759100314513,0.020502759100314513,-2.36237060546875
2,0.006735092231312354,0.01375858459195272,0.013741858900093652,0.013741858900093652,-2.3547412109375
3,0.0021844446884562592,0.006745919265329168,0.006738922865648528,0.006738922865648528,-2.34711181640625
4,0.0003627856367302014,0.002188083156976655,0.002186317041572378,0.002186317041572378,-2.339482421875
5,4.2122585994737185e-05,0.0003635708542901647,0.0003630272136536503,0.0003630272136536503,-2.33185302734375
6,8.158058970258665e-05,4.249461180246398e-05,4.179138735928119e-05,4.179138735928119e-05,-2.3242236328125
7,7.275047079000711e-05,8.206264306144447e-05,8.14882429047305e-05,8.14882429047305e-05,-2.31659423828125
8,3.478518160623778e-05,7.312030531359929e-05,7.299045572815773e-05,7.299045572815773e-05,-2.30896484375
9,1.559593861505123e-05,3.4922753018419296e-05,3.5073344590433425e-05,3.5073344590433425e-05,-2.30133544921875
10,6.988966919022305e-06,1.5601001450712443e-05,1.575709243808306e-05,1.575709243808306e-05,-2.2937060546875
11,9.409970013713705e-07,6.977695898632553e-06,7.047997557060203e-06,7.047997557060203e-06,-2.28607666015625
12,1.2501224523127466e-06,9.400181406581184e-07,9.58231073185332e-07,9.58231073185332e-07,-2.278447265625
13,6.216765555911574e-06,1.254466297717478e-06,1.2385407921853848e-06,1.2385407921853848e-06,-2.27081787109375
14,9.836135730706033e-06,6.255270848706238e-06,6.1806282934613905e-06,6.1806282934613905e-06,-2.2631884765625
15,9.954369996337626e-06,9.946637067992297e-06,9.796093789612647e-06,9.796093789612647e-06,-2.25555908203125
16,7.933269218605029e-06,1.0132028990034215e-05,9.929602834207768e-06,9.929602834207768e-06,-2.2479296875
17,5.7763429472957205e-06,8.135567991491754e-06,7.934340751349037e-06,7.934340751349037e-06,-2.24030029296875
18,5.0368938660381135e-06,5.965165278378403e-06,5.81262037924138e-06,5.81262037924138e-06,-2.2326708984375
19,5.828855843221228e-06,5.2006306714112165e-06,5.111487770641868e-06,5.111487770641868e-06,-2.22504150390625
20,6.76582781979666e-06,5.980127429882782e-06,5.930310736357398e-06,5.930310736357398e-06,-2.217412109375
21,6.521075333300216e-06,6.931083364610123e-06,6.875589213429747e-06,6.875589213429747e-06,-2.20978271484375
22,4.997777821250958e-06,6.717041751913964e-06,6.6249468236881465e-06,6.6249468236881465e-06,-2.2021533203125
23,3.0914891453265353e-06,5.205077666601904e-06,5.085854852772232e-06,5.085854852772232e-06,-2.19452392578125
24,1.823796617703083e-06,3.2631174855935117e-06,3.1554493351628796e-06,3.1554493351628796e-06,-2.18689453125
25,1.5265088404189546e-06,1.9315934533684302e-06,1.8616512495732035e-06,1.8616512495732035e-06,-2.17926513671875
26,1.6559878360834245e-06,1.5924975381703845e-06,1.5458907690679329e-06,1.5458907690679329e-06,-2.1716357421875
27,1.515090358980718e-06,1.7290675119856792e-06,1.667354069053891e-06,1.667354069053891e-06,-2.16400634765625
28,9.997292213885177e-07,1.6209773696520265e-06,1.5231737173182423e-06,1.5231737173182423e-06,-2.156376953125
29,4.630614081532382e-07,1.1200811540745187e-06,1.003757547243608e-06,1.003757547243608e-06,-2.14874755859375
30,1.4807566382817953e-07,5.598728372940051e-07,4.6263152538357006e-07,4.6263152538357006e-07,-2.1411181640625
31,2.5619919648306333e-08,2.0022426005498263e-07,1.4567785266731911e-07,1.4567785266731911e-07,-2.13348876953125
32,4.259280379824309e-09,4.052106996740904e-08,2.422138687702635e-08,2.422138687702635e-08,-2.125859375
33,7.816241001390451e-08,1.88244545101642e-09,4.625385159059569e-09,4.625385159059569e-09,-2.11822998046875
34,3.248485169388641e-07,6.99608984051641e-08,7.864336046703853e-08,7.864336046703853e-08,-2.1106005859375
35,8.57281564550509e-07,2.973068127930901e-07,3.2268876153467345e-07,3.2268876153467345e-07,-2.10297119140625
36,1.7347417794866517e-06,7.480417895332118e-07,8.50335929769446e-07,8.50335929769446e-07,-2.095341796875
37,2.8227162254761667e-06,1.4101006018047855e-06,1.723552583759414e-06,1.723552583759414e-06,-2.08771240234375
38,3.724825840673095e-06,2.1096324799111612e-06,2.812363018839932e-06,2.812363018839932e-06,-2.0800830078125
39,3.9585689291468306e-06,2.528438660583683e-06,3.724742132942231e-06,3.724742132942231e-06,-2.07245361328125
40,3.3219727235735937e-06,2.3916812645661646e-06,3.978822916997937e-06,3.978822916997937e-06,-2.06482421875
41,2.109317044072373e-06,1.7148731357058274e-06,3.36690602628817e-06,3.36690602628817e-06,-2.05719482421875
42,9.316364778337538e-07,8.596436202793534e-07,2.1722361902609424e-06,2.1722361902609424e-06,-2.0495654296875
43,3.2430827006779365e-07,3.0055250958302884e-07,9.944969138338289e-07,9.944969138338289e-07,-2.04193603515625
44,5.054860294856857e-07,3.1857575456550957e-07,3.6304150254670344e-07,3.6304150254670344e-07,-2.034306640625
45,1.3893957803407945e-06,8.957917574900304e-07,4.978278499106065e-07,4.978278499106065e-07,-2.02667724609375
46,2.6772286767793404e-06,1.8286278120239656e-06,1.321205446838422e-06,1.321205446838422e-06,-2.0190478515625
47,3.898837172325708e-06,2.8563835844423723e-06,2.545109868300462e-06,2.545109868300462e-06,-2.01141845703125
48,4.512930763821557e-06,3.673457481088955e-06,3.7094212677564425e-06,3.7094212677564425e-06,-2.0037890625
49,4.18699150375988e-06,3.939358050907106e-06,4.281252064532613e-06,4.281252064532613e-06,-1.99615966796875
50,3.07350819371857e-06,3.4558338082027956e-06,3.93602316846694e-06,3.93602316846694e-06,-1.9885302734375
