,ka_hh,ka_vv,ka_hv,ka_range,ka_vh
0,0.020316497351444446,0.023183332041413717,0.023164571825814273,-2.37,0.023164571825814273
1,0.01361363302169622,0.02036727463609492,0.02035170723258565,-2.36237060546875,0.02035170723258565
2,0.0066722845499009005,0.013648602250305147,0.013640312488647248,-2.3547412109375,0.013640312488647248
3,0.002161974222130371,0.0066905424131589175,0.006688867497260779,-2.34711181640625,0.006688867497260779
4,0.00035804446210868055,0.00216891260298293,0.0021701102832318766,-2.339482421875,0.0021701102832318766
5,4.208742028917826e-05,0.00035999028013785364,0.0003607876629654892,-2.33185302734375,0.0003607876629654892
6,8.215203888874851e-05,4.2730904837731637e-05,4.226681210365137e-05,-2.3242236328125,4.226681210365137e-05
7,7.332606434726554e-05,8.251715133666802e-05,8.163812955671363e-05,-2.31659423828125,8.163812955671363e-05
8,3.523044779247143e-05,7.340221410100361e-05,7.29810048252229e-05,-2.30896484375,7.29810048252229e-05
9,1.5845770719592237e-05,3.505951799848439e-05,3.519166815902606e-05,-2.30133544921875,3.519166815902606e-05
10,7.082548701432883e-06,1.5618487230642983e-05,1.5937763291271853e-05,-2.2937060546875,1.5937763291271853e-05
11,9.23088021981238e-07,6.925815646973009e-06,7.15199375679625e-06,-2.28607666015625,7.15199375679625e-06
12,1.219973942593456e-06,8.638068866842267e-07,9.442689705111165e-07,-2.278447265625,9.442689705111165e-07
13,6.342784698424868e-06,1.2712657957419163e-06,1.2251720451537639e-06,-2.27081787109375,1.2251720451537639e-06
14,1.018904880044351e-05,6.525490477988181e-06,6.346278013454983e-06,-2.2631884765625,6.346278013454983e-06
15,1.0429090751685209e-05,1.0482685496470125e-05,1.0181904757326021e-05,-2.25555908203125,1.0181904757326021e-05
16,8.392230454640888e-06,1.076041840393737e-05,1.040683218776232e-05,-2.2479296875,1.040683218776232e-05
17,6.186574817955664e-06,8.688845550712276e-06,8.36790759210757e-06,-2.24030029296875,8.36790759210757e-06
18,5.4411136132826376e-06,6.420651876574892e-06,6.181396534006757e-06,-2.2326708984375,6.181396534006757e-06
19,6.253397773529616e-06,5.619286319901354e-06,5.467045246550121e-06,-2.22504150390625,5.467045246550121e-06
20,7.189234557464713e-06,6.3918454020808795e-06,6.305098194008604e-06,-2.217412109375,6.305098194008604e-06
21,6.898922882108703e-06,7.309063138968331e-06,7.2514068862649235e-06,-2.20978271484375,7.2514068862649235e-06
22,5.295996498036828e-06,7.022094050425644e-06,6.957976363255252e-06,-2.2021533203125,6.957976363255252e-06
23,3.30600049722532e-06,5.426102585561178e-06,5.344092189400264e-06,-2.19452392578125,5.344092189400264e-06
24,1.9774442814872865e-06,3.4214133722982418e-06,3.3396770567501313e-06,-2.18689453125,3.3396770567501313e-06
25,1.6461137134310435e-06,2.0573027794229407e-06,1.9972295080013066e-06,-2.17926513671875,1.9972295080013066e-06
