,ka_hh,ka_vv,ka_hv,ka_range,ka_vh
0,0.02049213844563137,0.02336815218975452,0.02325722241167026,-2.37,0.02325722241167026
1,0.013739338346553904,0.020533825907166927,0.020433175575599146,-2.36237060546875,0.020433175575599146
2,0.006742362936388693,0.013769692112848094,0.013695131256507405,-2.3547412109375,0.013695131256507405
3,0.0021902642121352334,0.006759777743386838,0.006716038975974595,-2.34711181640625,0.006716038975974595
4,0.00036396619822523507,0.0021977267304962036,0.002179015982359662,-2.339482421875,0.002179015982359662
5,4.008034879932762e-05,0.0003661058876552619,0.00036188655585333104,-2.33185302734375,0.00036188655585333104
6,7.93101251489913e-05,4.045217376426558e-05,4.159979543915627e-05,-2.3242236328125,4.159979543915627e-05
7,7.171683814783909e-05,7.950121398354116e-05,8.112881513965097e-05,-2.31659423828125,8.112881513965097e-05
8,3.464479309818219e-05,7.198969889096882e-05,7.276282047187446e-05,-2.30896484375,7.276282047187446e-05
9,1.5623953842837372e-05,3.4892925014244154e-05,3.5026875992325796e-05,-2.30133544921875,3.5026875992325796e-05
10,6.965287359551442e-06,1.581257809434735e-05,1.57069287582702e-05,-2.2937060546875,1.57069287582702e-05
11,9.544113144432014e-07,7.099319114993476e-06,6.983364986354807e-06,-2.28607666015625,6.983364986354807e-06
12,1.2709845251228597e-06,1.0060861403472135e-06,9.890405955463589e-07,-2.278447265625,9.890405955463589e-07
13,6.063302307727888e-06,1.2470726496446311e-06,1.3323764779557793e-06,-2.27081787109375,1.3323764779557793e-06
14,9.398975755707726e-06,6.057400658739978e-06,6.154094984986218e-06,-2.2631884765625,6.154094984986218e-06
15,9.314154801826047e-06,9.513109271821748e-06,9.532869593574326e-06,-2.25555908203125,9.532869593574326e-06
16,7.262043748768344e-06,9.559225226863472e-06,9.501413240753644e-06,-2.2479296875,9.501413240753644e-06
17,5.1716407590791196e-06,7.566231436025586e-06,7.495195984892687e-06,-2.24030029296875,7.495195984892687e-06
18,4.463670002850312e-06,5.460973168165282e-06,5.432186791731391e-06,-2.2326708984375,5.432186791731391e-06
19,5.20181603959554e-06,4.711903255060791e-06,4.7375700141168575e-06,-2.22504150390625,4.7375700141168575e-06
20,6.065821687239019e-06,5.425330166809463e-06,5.482923720597861e-06,-2.217412109375,5.482923720597861e-06
21,5.828059680155904e-06,6.295953734006399e-06,6.345497456659264e-06,-2.20978271484375,6.345497456659264e-06
22,4.4255493734213935e-06,6.078519878712783e-06,6.084845360737284e-06,-2.2021533203125,6.084845360737284e-06
