,ku_hh,ku_vv,ku_hv,ku_range,ku_vh
0,0.020585331362802804,0.023459876971186882,0.023403927706228726,-2.37,0.023403927706228726
1,0.013795425794759536,0.020609993056321548,0.020562633284241544,-2.36237060546875,0.020562633284241544
2,0.006763640286166226,0.013810914368262425,0.013783188317661874,-2.3547412109375,0.013783188317661874
3,0.0021936008826806425,0.006770126179470755,0.006760629171077059,-2.34711181640625,0.006760629171077059
4,0.00036412576979917533,0.002195032824058507,0.0021945954330659804,-2.339482421875,0.0021945954330659804
5,4.18484272376022e-05,0.00036441776326773663,0.00036511866330444354,-2.33185302734375,0.00036511866330444354
6,8.122169319297093e-05,4.259605675415439e-05,4.20136602552302e-05,-2.3242236328125,4.20136602552302e-05
7,7.231181985153516e-05,8.214687543818525e-05,8.129784027616479e-05,-2.31659423828125,8.129784027616479e-05
8,3.434718980107819e-05,7.283595826323564e-05,7.268990169056974e-05,-2.30896484375,7.268990169056974e-05
9,1.530479835814242e-05,3.442872798320415e-05,3.4808567748827216e-05,-2.30133544921875,3.4808567748827216e-05
10,6.85754806647851e-06,1.523303744670572e-05,1.5610701799191346e-05,-2.2937060546875,1.5610701799191346e-05
11,9.127292161238716e-07,6.8132602159597254e-06,6.992590595653927e-06,-2.28607666015625,6.992590595653927e-06
12,1.272529115175171e-06,8.93424590673939e-07,9.446295406455319e-07,-2.278447265625,9.446295406455319e-07
13,6.245946438216845e-06,1.2621311758258671e-06,1.2527872584593896e-06,-2.27081787109375,1.2527872584593896e-06
14,9.846846857174091e-06,6.283960458658057e-06,6.212316418275037e-06,-2.2631884765625,6.212316418275037e-06
15,9.946035970775545e-06,9.954188810986848e-06,9.815364921290516e-06,-2.25555908203125,9.815364921290516e-06
16,7.913421466946047e-06,1.008687872975146e-05,9.912853892832887e-06,-2.2479296875,9.912853892832887e-06
17,5.750760028340487e-06,8.0471069456794e-06,7.889649815725333e-06,-2.24030029296875,7.889649815725333e-06
18,5.011299325158428e-06,5.86885522459895e-06,5.765631802284746e-06,-2.2326708984375,5.765631802284746e-06
19,5.8056915271290595e-06,5.117166972628944e-06,5.0713548284962e-06,-2.22504150390625,5.0713548284962e-06
20,6.7438657780723265e-06,5.9019267111671156e-06,5.8815136405693974e-06,-2.217412109375,5.8815136405693974e-06
21,6.503741409865496e-06,6.848753480392675e-06,6.805752852215275e-06,-2.20978271484375,6.805752852215275e-06
