,ka_hh,ka_vv,ka_hv,ka_range,ka_vh
68,2.8317926540392964e-07,2.2077210078036783e-07,3.5877452312662335e-07,-1.851201171875,3.5877452312662335e-07
69,2.9307333277432754e-07,2.3820163477650446e-07,4.238283374222066e-07,-1.84357177734375,4.238283374222066e-07
70,2.997441511462179e-07,2.2544565322944156e-07,4.0787122345489476e-07,-1.8359423828125,4.0787122345489476e-07
71,3.6776485020314076e-07,1.9764450137372754e-07,3.1186145145074976e-07,-1.82831298828125,3.1186145145074976e-07
72,5.512662439903716e-07,1.8338797593744484e-07,1.900448906854492e-07,-1.82068359375,1.900448906854492e-07
73,8.322139869007157e-07,2.0428198118711488e-07,1.2912977564519547e-07,-1.81305419921875,1.2912977564519547e-07
74,1.1069898694857672e-06,2.515239381922187e-07,1.8830641120257227e-07,-1.8054248046875,1.8830641120257227e-07
75,1.246740063122153e-06,2.875785664109473e-07,3.4819102975123577e-07,-1.79779541015625,3.4819102975123577e-07
76,1.1811151947251846e-06,2.778412293374423e-07,5.178057533074519e-07,-1.790166015625,5.178057533074519e-07
77,9.366427370623832e-07,2.217396065938152e-07,5.961711999893935e-07,-1.78253662109375,5.961711999893935e-07
78,6.110461196582973e-07,1.5245749782942771e-07,5.38930496856237e-07,-1.7749072265625,5.38930496856237e-07
79,3.1359547001655185e-07,1.0792694355119682e-07,3.811884210126442e-07,-1.76727783203125,3.811884210126442e-07
80,1.1324964615971056e-07,1.0168527673385012e-07,2.0387494334085397e-07,-1.7596484375,2.0387494334085397e-07
81,2.4730584955438783e-08,1.1848396991277755e-07,7.538966758491925e-08,-1.75201904296875,7.538966758491925e-08
82,3.338821378342347e-08,1.3513761663295917e-07,2.0413619147275003e-08,-1.7443896484375,2.0413619147275003e-08
83,1.247443145709794e-07,1.4443651882364876e-07,3.618779582855774e-08,-1.73676025390625,3.618779582855774e-08
84,2.8438002315580593e-07,1.6196810126119162e-07,1.2167734382584618e-07,-1.729130859375,1.2167734382584618e-07
85,4.7525632196152764e-07,2.1687904175657484e-07,2.7622623703755415e-07,-1.72150146484375,2.7622623703755415e-07
86,6.293251518842217e-07,3.332783868396794e-07,4.7160526925907235e-07,-1.7138720703125,4.7160526925907235e-07
87,6.741621989589395e-07,5.002480671251318e-07,6.385684580794855e-07,-1.70624267578125,6.385684580794855e-07
88,5.795185051536753e-07,6.48070606114977e-07,6.946683206709457e-07,-1.69861328125,6.946683206709457e-07
89,3.8649243696268874e-07,6.773250002569529e-07,5.995394049671484e-07,-1.69098388671875,5.995394049671484e-07
90,1.8714537930674604e-07,5.453132344466267e-07,3.934756006501107e-07,-1.6833544921875,3.934756006501107e-07
91,6.186220702803504e-08,3.2415331113811814e-07,1.77664696495383e-07,-1.67572509765625,1.77664696495383e-07
92,2.8578489731421632e-08,1.4936054925364734e-07,4.2603510072237377e-08,-1.668095703125,4.2603510072237377e-08
93,5.093344323987897e-08,1.038992497299041e-07,8.424228690516515e-09,-1.66046630859375,8.424228690516515e-09
94,8.723673403850399e-08,1.6181383897303314e-07,3.2765631285344974e-08,-1.6528369140625,3.2765631285344974e-08
95,1.2171141655127874e-07,2.3778571097891118e-07,6.687947982841713e-08,-1.64520751953125,6.687947982841713e-08
96,1.543897648845803e-07,2.697456350493632e-07,9.416371443345183e-08,-1.637578125,9.416371443345183e-08
97,1.7915231108370674e-07,2.5099934740158374e-07,1.2153685039025388e-07,-1.62994873046875,1.2153685039025388e-07
98,1.8154103432665978e-07,2.0560466024728405e-07,1.516118882400447e-07,-1.6223193359375,1.516118882400447e-07
99,1.5370488811191293e-07,1.5399128470957992e-07,1.7145203462587117e-07,-1.61468994140625,1.7145203462587117e-07
100,1.0522093307000572e-07,1.039957017044283e-07,1.6381661110100916e-07,-1.607060546875,1.6381661110100916e-07
101,5.7980252516537455e-08,6.311215949081385e-08,1.247503615898764e-07,-1.59943115234375,1.247503615898764e-07
102,3.03808160155486e-08,4.5472288325024585e-08,7.013892442821931e-08,-1.5918017578125,7.013892442821931e-08
103,2.505709810690825e-08,5.983816401411733e-08,2.52004060585001e-08,-1.58417236328125,2.52004060585001e-08
104,3.05242492483542e-08,9.45102824022454e-08,6.560422158110075e-09,-1.57654296875,6.560422158110075e-09
105,3.37032388280447e-08,1.2209612136717406e-07,1.3273344184140335e-08,-1.56891357421875,1.3273344184140335e-08
106,3.038492148221972e-08,1.2168770583073398e-07,3.255763730864936e-08,-1.5612841796875,3.255763730864936e-08
107,2.4874142169956043e-08,9.428648116296151e-08,5.1124654312745725e-08,-1.55365478515625,5.1124654312745725e-08
108,2.218988120428646e-08,5.7501498630584596e-08,6.151199248715733e-08,-1.546025390625,6.151199248715733e-08
109,2.21464615495029e-08,2.934176400795269e-08,6.215373806506589e-08,-1.53839599609375,6.215373806506589e-08
110,2.037567271567047e-08,1.765925075330874e-08,5.543106278012572e-08,-1.5307666015625,5.543106278012572e-08
111,1.4048028994870114e-08,2.0492606878732137e-08,4.583742648847665e-08,-1.52313720703125,4.583742648847665e-08
112,6.475142382939747e-09,3.2091051955470455e-08,3.799193963559969e-08,-1.5155078125,3.799193963559969e-08
