,ka_hh,ka_vv,ka_hv,ka_vh,ka_range
141,2.4329747728080433e-08,5.1839118528123563e-08,3.374333932371022e-08,3.374333932371022e-08,-1.29425537109375
142,2.01600037031609e-08,5.5205766052864044e-08,2.3049730551806732e-08,2.3049730551806732e-08,-1.2866259765625
143,1.549676326678499e-08,5.98726361826606e-08,1.6745322117427905e-08,1.6745322117427905e-08,-1.27899658203125
144,1.0761490509839208e-08,6.57370822207589e-08,1.2436224987293623e-08,1.2436224987293623e-08,-1.2713671875
145,7.517342323720379e-09,7.063866362469313e-08,9.759767411903031e-09,9.759767411903031e-09,-1.26373779296875
146,7.016074526980138e-09,7.070595405438488e-08,8.875895930718331e-09,8.875895930718331e-09,-1.2561083984375
147,9.175897074229667e-09,6.303396950886298e-08,9.400015099655457e-09,9.400015099655457e-09,-1.24847900390625
148,1.2454057172045266e-08,4.8441753542035e-08,1.0578589943363127e-08,1.0578589943363127e-08,-1.240849609375
149,1.4924209657455084e-08,3.1357556246086754e-08,1.175533428226902e-08,1.175533428226902e-08,-1.23322021484375
150,1.5523648075771303e-08,1.6927021696953962e-08,1.2605384618747744e-08,1.2605384618747744e-08,-1.2255908203125
151,1.4216887648503697e-08,8.043009437520232e-09,1.3010037382690019e-08,1.3010037382690019e-08,-1.21796142578125
152,1.1484533595446887e-08,4.47990511230659e-09,1.2688604246610397e-08,1.2688604246610397e-08,-1.21033203125
153,8.126620938615875e-09,4.175850427314657e-09,1.1223213682894452e-08,1.1223213682894452e-08,-1.20270263671875
154,5.119037775881074e-09,5.184128506999626e-09,8.659474845078712e-09,8.659474845078712e-09,-1.1950732421875
155,3.1786282416104402e-09,6.777260452434188e-09,5.732303381501659e-09,5.732303381501659e-09,-1.18744384765625
156,3.0121728365848407e-09,9.363345066960515e-09,3.296958407340039e-09,3.296958407340039e-09,-1.179814453125
157,6.520008530518321e-09,1.3888080618366865e-08,2.1359542661301725e-09,2.1359542661301725e-09,-1.17218505859375
158,1.680056476701959e-08,2.1102085711091e-08,3.6954328866772177e-09,3.6954328866772177e-09,-1.1645556640625
159,3.52862182992194e-08,3.0524495946738345e-08,1.0125529599364952e-08,1.0125529599364952e-08,-1.15692626953125
160,5.81830519212594e-08,3.962469366845666e-08,2.2355745923184266e-08,2.2355745923184266e-08,-1.149296875
