,ku_hh,ku_vv,ku_hv,ku_vh,ku_range
0,0.020197979713676505,0.023095653115345803,0.023129820558445112,0.023129820558445112,-2.37
1,0.01349232204187318,0.02029297919297332,0.020319213310513836,0.020319213310513836,-2.36237060546875
2,0.006573902237271922,0.013607011151651782,0.013614064610045808,0.013614064610045808,-2.3547412109375
3,0.0021080475503029838,0.006682879681204618,0.006671231570303035,0.006671231570303035,-2.34711181640625
4,0.0003418341020847554,0.002179039194237618,0.0021609791790964564,0.0021609791790964564,-2.339482421875
5,3.8010324828291025e-05,0.0003671212334357564,0.000357733953531824,0.000357733953531824,-2.33185302734375
6,7.260769600092018e-05,3.627182302955135e-05,4.197251347116395e-05,4.197251347116395e-05,-2.3242236328125
7,5.9105957485726255e-05,6.627034072903048e-05,8.168592428484585e-05,8.168592428484585e-05,-2.31659423828125
8,2.4223875532671697e-05,5.731263401357148e-05,7.262852516167513e-05,7.262852516167513e-05,-2.30896484375
9,1.0894664671384962e-05,2.5149053817494995e-05,3.474762755369626e-05,3.474762755369626e-05,-2.30133544921875
10,5.816291174345955e-06,1.1619235274880805e-05,1.5708866429910046e-05,1.5708866429910046e-05,-2.2937060546875
11,9.666967631337812e-07,6.097562204603058e-06,7.060901652703153e-06,7.060901652703153e-06,-2.28607666015625
12,1.901870492934203e-06,1.1534975250552442e-06,8.606406875440811e-07,8.606406875440811e-07,-2.278447265625
13,7.424167881264406e-06,1.4947050094315312e-06,1.266631459446891e-06,1.266631459446891e-06,-2.27081787109375
14,1.1328525534093315e-05,5.935800848413564e-06,6.730652868283432e-06,6.730652868283432e-06,-2.2631884765625
15,1.1479604492030013e-05,9.038746205882537e-06,1.0928740230674672e-05,1.0928740230674672e-05,-2.25555908203125
16,9.247799431809603e-06,9.094968227257358e-06,1.1303372955553746e-05,1.1303372955553746e-05,-2.2479296875
17,6.5787081015805435e-06,7.376697933735265e-06,9.184017402397734e-06,9.184017402397734e-06,-2.24030029296875
18,5.27952158050921e-06,5.48435269313951e-06,6.839777039745307e-06,6.839777039745307e-06,-2.2326708984375
19,5.875875395623844e-06,4.765520730276546e-06,6.017701108240076e-06,6.017701108240076e-06,-2.22504150390625
20,7.013606571442051e-06,5.480107874792623e-06,6.800277979909728e-06,6.800277979909728e-06,-2.217412109375
21,7.0421025518662686e-06,6.53350413262506e-06,7.67453606810758e-06,7.67453606810758e-06,-2.20978271484375
22,5.695953476190366e-06,6.726392952559625e-06,7.255601184073937e-06,7.255601184073937e-06,-2.2021533203125
23,4.009118795699908e-06,5.737941889962522e-06,5.5013187945381975e-06,5.5013187945381975e-06,-2.19452392578125
24,3.0915784206143655e-06,4.067770795612069e-06,3.414053520631817e-06,3.414053520631817e-06,-2.18689453125
25,3.079430926130721e-06,2.6026151570366097e-06,2.0800502065510125e-06,2.0800502065510125e-06,-2.17926513671875
26,3.1674531081350703e-06,1.9410316473901754e-06,1.803155350683875e-06,1.803155350683875e-06,-2.1716357421875
