,ku_hh,ku_vv,ku_hv,ku_vh,ku_range
0,0.02063717900083472,0.02350063729182566,0.023484706960078313,0.023484706960078313,-2.37
1,0.0138351930852434,0.020648167811457875,0.020634280814925722,0.020634280814925722,-2.36237060546875
2,0.006788153289313437,0.013841668685726477,0.01383264140749015,0.01383264140749015,-2.3547412109375
3,0.0022048244805520983,0.006790267933054056,0.006786205874947342,0.006786205874947342,-2.34711181640625
4,0.00036726081391543354,0.002204690906236655,0.0022036822684766825,0.0022036822684766825,-2.339482421875
5,4.195906356931807e-05,0.0003670165941407633,0.0003669309379420589,0.0003669309379420589,-2.33185302734375
6,8.102703188838518e-05,4.2474604451925646e-05,4.219280003176008e-05,4.219280003176008e-05,-2.3242236328125
7,7.239542834541205e-05,8.200304689296626e-05,8.14465687480852e-05,8.14465687480852e-05,-2.31659423828125
8,3.4531456949273144e-05,7.322354468587998e-05,7.272280857071017e-05,7.272280857071017e-05,-2.30896484375
9,1.5454658660701364e-05,3.49374640761948e-05,3.470068716536275e-05,3.470068716536275e-05,-2.30133544921875
10,6.906392621507713e-06,1.5540338427257772e-05,1.552805375948315e-05,1.552805375948315e-05,-2.2937060546875
11,8.482599259303861e-07,6.876493463776607e-06,6.9411521501186735e-06,6.9411521501186735e-06,-2.28607666015625
12,1.264249576878562e-06,8.316525030375387e-07,8.605421259589714e-07,8.605421259589714e-07,-2.278447265625
13,6.55852556232661e-06,1.3177404514150946e-06,1.2615056669955199e-06,1.2615056669955199e-06,-2.27081787109375
14,1.055784507435887e-05,6.70079247412826e-06,6.5462033931653536e-06,6.5462033931653536e-06,-2.2631884765625
15,1.086763144073861e-05,1.0761291353449747e-05,1.0525355487670183e-05,1.0525355487670183e-05,-2.25555908203125
16,8.807732689380012e-06,1.107286982502734e-05,1.0806624345515823e-05,1.0806624345515823e-05,-2.2479296875
17,6.52691419792382e-06,8.975161039574128e-06,8.741300808349266e-06,8.741300808349266e-06,-2.24030029296875
18,5.704070178159221e-06,6.654305046934154e-06,6.493935507210668e-06,6.493935507210668e-06,-2.2326708984375
19,6.450672393552511e-06,5.7992282979264e-06,5.717006479116173e-06,5.717006479116173e-06,-2.22504150390625
20,7.316681910344796e-06,6.52310486248509e-06,6.489573766761679e-06,6.489573766761679e-06,-2.217412109375
21,6.9497345810640735e-06,7.3954177140446006e-06,7.36119858730206e-06,7.36119858730206e-06,-2.20978271484375
22,5.289527918656843e-06,7.06940854902059e-06,6.9960455808637536e-06,6.9960455808637536e-06,-2.2021533203125
23,3.2918656400442923e-06,5.4449741750582915e-06,5.335147494639756e-06,5.335147494639756e-06,-2.19452392578125
24,2.0087092417227824e-06,3.4317170719687523e-06,3.323424436745186e-06,3.323424436745186e-06,-2.18689453125
25,1.7431554356702024e-06,2.089278435846066e-06,2.0136570618048315e-06,2.0136570618048315e-06,-2.17926513671875
26,1.8878621317963676e-06,1.775971440492596e-06,1.724612228487226e-06,1.724612228487226e-06,-2.1716357421875
27,1.706776755308521e-06,1.923460229299499e-06,1.8609457060417899e-06,1.8609457060417899e-06,-2.16400634765625
28,1.1135103214667722e-06,1.7793413519293074e-06,1.684019152856811e-06,1.684019152856811e-06,-2.156376953125
29,5.069275489775813e-07,1.2104421821908838e-06,1.0978787168176485e-06,1.0978787168176485e-06,-2.14874755859375
30,1.5605432464746652e-07,5.89084385900145e-07,4.961910138299222e-07,4.961910138299222e-07,-2.1411181640625
31,2.5520227313948705e-08,1.982357385533219e-07,1.4900428340865e-07,1.4900428340865e-07,-2.13348876953125
32,7.049572865076651e-09,3.4125643389502204e-08,2.304578600952334e-08,2.304578600952334e-08,-2.125859375
33,8.613376090288151e-08,5.242441913371366e-09,9.702277358067315e-09,9.702277358067315e-09,-2.11822998046875
34,3.3924489394733073e-07,8.867434901937518e-08,9.248579646785253e-08,9.248579646785253e-08,-2.1106005859375
35,8.785104856926194e-07,3.3085190396865036e-07,3.4616114458578447e-07,3.4616114458578447e-07,-2.10297119140625
36,1.7593948283867255e-06,7.875680625520791e-07,8.824874265594781e-07,8.824874265594781e-07,-2.095341796875
37,2.8411098884995615e-06,1.4385538331078015e-06,1.7590966561289343e-06,1.7590966561289343e-06,-2.08771240234375
38,3.722392703461632e-06,2.108212366715088e-06,2.840673856191809e-06,2.840673856191809e-06,-2.0800830078125
39,3.924303091407148e-06,2.487027792207651e-06,3.7322219778894033e-06,3.7322219778894033e-06,-2.07245361328125
40,3.2596268844115926e-06,2.317351791107549e-06,3.9561665881269404e-06,3.9561665881269404e-06,-2.06482421875
41,2.0401788767995788e-06,1.631488106504576e-06,3.3178711191936546e-06,3.3178711191936546e-06,-2.05719482421875
42,8.837726508009582e-07,7.960541541659052e-07,2.11528967295642e-06,2.11528967295642e-06,-2.0495654296875
