,ku_hh,ku_vv,ku_hv,ku_range,ku_vh
0,0.020734508096509716,0.023654147893017174,0.02362253448523755,-2.37,0.02362253448523755
1,0.01390182340522806,0.020783842590007283,0.020756483936748074,-2.36237060546875,0.020756483936748074
2,0.006822541281634583,0.013934538993670137,0.013917226694799313,-2.3547412109375,0.013917226694799313
3,0.002217267676063475,0.0068380382468063335,0.006830801069500582,-2.34711181640625,0.006830801069500582
4,0.0003695597271985193,0.0022217989921406132,0.002220493027276045,-2.339482421875,0.002220493027276045
5,4.1266318094593445e-05,0.000370237555450535,0.0003704754579381469,-2.33185302734375,0.0003704754579381469
6,8.003980015024023e-05,4.193255238237844e-05,4.161476763900433e-05,-2.3242236328125,4.161476763900433e-05
7,7.171383149191645e-05,8.122577993624583e-05,8.035705200547602e-05,-2.31659423828125,8.035705200547602e-05
8,3.40787242663769e-05,7.274489119311538e-05,7.196329005077276e-05,-2.30896484375,7.196329005077276e-05
9,1.5069867838110444e-05,3.4613535805643217e-05,3.421016400308204e-05,-2.30133544921875,3.421016400308204e-05
10,6.66157710789339e-06,1.526056950722366e-05,1.513395386719611e-05,-2.2937060546875,1.513395386719611e-05
11,8.914544199494824e-07,6.725592611840157e-06,6.704033385650505e-06,-2.28607666015625,6.704033385650505e-06
12,1.4080560866776669e-06,9.066768425684141e-07,9.099900290056053e-07,-2.278447265625,9.099900290056053e-07
13,6.323776272532789e-06,1.4023177618073385e-06,1.3959858210420736e-06,-2.27081787109375,1.3959858210420736e-06
14,9.683470980314262e-06,6.354407626636826e-06,6.292577316066473e-06,-2.2631884765625,6.292577316066473e-06
15,9.573908853308526e-06,9.789727604916114e-06,9.642262986856415e-06,-2.25555908203125,9.642262986856415e-06
16,7.507215789114281e-06,9.729035808047536e-06,9.52332168554605e-06,-2.2479296875,9.52332168554605e-06
17,5.42197049125979e-06,7.654877796967334e-06,7.4583773265805925e-06,-2.24030029296875,7.4583773265805925e-06
18,4.715426082959145e-06,5.530182183907269e-06,5.397325879316501e-06,-2.2326708984375,5.397325879316501e-06
