,ku_hh,ku_vv,ku_hv,ku_range,ku_vh
0,0.02065686359371895,0.023539785806818408,0.023515631444898176,-2.37,0.023515631444898176
1,0.013845869060059458,0.02068259233562838,0.0206616628491919,-2.36237060546875,0.0206616628491919
2,0.006790333303479726,0.01386476838851063,0.013851458132416297,-2.3547412109375,0.013851458132416297
3,0.0022029908159980384,0.006801572209952457,0.006795885049068512,-2.34711181640625,0.006795885049068512
4,0.0003657531261746968,0.002208375810318273,0.002207091084188494,-2.339482421875,0.002207091084188494
5,4.2335968018481136e-05,0.00036784123095803123,0.00036755481240031463,-2.33185302734375,0.00036755481240031463
6,8.250193487938218e-05,4.2991800964681335e-05,4.217202731668758e-05,-2.3242236328125,4.217202731668758e-05
7,7.3759604042175e-05,8.259803237225353e-05,8.146302110144342e-05,-2.31659423828125,8.146302110144342e-05
8,3.531587742077215e-05,7.3581474654264e-05,7.280595476614759e-05,-2.30896484375,7.280595476614759e-05
9,1.5786640902347687e-05,3.50013973398461e-05,3.479711550620773e-05,-2.30133544921875,3.479711550620773e-05
10,6.992857595447369e-06,1.548722076772404e-05,1.5600115081048948e-05,-2.2937060546875,1.5600115081048948e-05
11,8.334333363427374e-07,6.8169081816293665e-06,6.949989636975359e-06,-2.28607666015625,6.949989636975359e-06
12,1.3179191690965557e-06,7.847107643886588e-07,8.293996542237334e-07,-2.278447265625,8.293996542237334e-07
13,6.826070936320064e-06,1.3443218654630435e-06,1.3077697652032832e-06,-2.27081787109375,1.3077697652032832e-06
14,1.102390795194629e-05,6.903567085067824e-06,6.78628114080376e-06,-2.2631884765625,6.78628114080376e-06
15,1.1383314381507256e-05,1.1164029966718533e-05,1.0955612619261077e-05,-2.25555908203125,1.0955612619261077e-05
16,9.261560570863703e-06,1.15819756502773e-05,1.1309016623031164e-05,-2.2479296875,1.1309016623031164e-05
17,6.928134787417813e-06,9.478841847475942e-06,9.202358081159218e-06,-2.24030029296875,9.202358081159218e-06
18,6.104338854581469e-06,7.1210146463192705e-06,6.892566117173813e-06,-2.2326708984375,6.892566117173813e-06
19,6.851066899696633e-06,6.263282617546541e-06,6.096115202915768e-06,-2.22504150390625,6.096115202915768e-06
20,7.671877496613554e-06,7.002393256060332e-06,6.873595127779177e-06,-2.217412109375,6.873595127779177e-06
21,7.218885127277089e-06,7.849274260675235e-06,7.721364088585882e-06,-2.20978271484375,7.721364088585882e-06
22,5.454951231218455e-06,7.430023786852547e-06,7.280667082990628e-06,-2.2021533203125,7.280667082990628e-06
23,3.3529643384986592e-06,5.671200490029096e-06,5.51136943467645e-06,-2.19452392578125,5.51136943467645e-06
24,1.9864324516594463e-06,3.53178640666707e-06,3.392572760444665e-06,-2.18689453125,3.392572760444665e-06
25,1.683120378298547e-06,2.1068840597277372e-06,2.005133595678369e-06,-2.17926513671875,2.005133595678369e-06
26,1.8380413425312106e-06,1.7629594004591886e-06,1.681535686644425e-06,-2.1716357421875,1.681535686644425e-06
27,1.6877647208300771e-06,1.917233678935915e-06,1.82117116262196e-06,-2.16400634765625,1.82117116262196e-06
28,1.1156122653477431e-06,1.7922460957066963e-06,1.6643356381127574e-06,-2.156376953125,1.6643356381127574e-06
29,5.127203285022547e-07,1.2343915072163043e-06,1.0940329842380229e-06,-2.14874755859375,1.0940329842380229e-06
30,1.584792270499031e-07,6.108550975407709e-07,4.973602058998008e-07,-2.1411181640625,4.973602058998008e-07
31,2.6531629866083436e-08,2.1157828001088459e-07,1.4996108449974453e-07,-2.13348876953125,1.4996108449974453e-07
32,8.500668495257854e-09,4.003490727763366e-08,2.397816160894641e-08,-2.125859375,2.397816160894641e-08
33,8.672088335438379e-08,6.634261546187593e-09,1.069282400581726e-08,-2.11822998046875,1.069282400581726e-08
34,3.3717089891862277e-07,8.870986993887343e-08,9.234224243038877e-08,-2.1106005859375,9.234224243038877e-08
35,8.734031027864361e-07,3.3434421231451815e-07,3.4534299988161235e-07,-2.10297119140625,3.4534299988161235e-07
36,1.7516967716828413e-06,8.004361569983715e-07,8.847952960622824e-07,-2.095341796875,8.847952960622824e-07
37,2.831105724408334e-06,1.4647951415413845e-06,1.7697480863139647e-06,-2.08771240234375,1.7697480863139647e-06
38,3.7103555696731627e-06,2.146604534956912e-06,2.861782724093671e-06,-2.0800830078125,2.861782724093671e-06
39,3.911630890259225e-06,2.5293910921107887e-06,3.75892930066957e-06,-2.07245361328125,3.75892930066957e-06
40,3.2499930720574357e-06,2.3512420085246204e-06,3.977991943350377e-06,-2.06482421875,3.977991943350377e-06
41,2.0394660991059423e-06,1.6486790464292035e-06,3.3263782077422603e-06,-2.05719482421875,3.3263782077422603e-06
42,8.985256593415166e-07,8.014119107601835e-07,2.1122737100038458e-06,-2.0495654296875,2.1122737100038458e-06
43,3.5131119495678886e-07,2.8676165245771407e-07,9.520957031914382e-07,-2.04193603515625,9.520957031914382e-07
44,5.921739582074465e-07,3.702269313826885e-07,3.7092365662907715e-07,-2.034306640625,3.7092365662907715e-07
45,1.5097892736404688e-06,1.0082666404074818e-06,5.656456327410479e-07,-2.02667724609375,5.656456327410479e-07
46,2.7863615684113104e-06,1.9725099349886035e-06,1.4285634958777673e-06,-2.0190478515625,1.4285634958777673e-06
47,3.945813844141024e-06,2.9857425912226897e-06,2.646785420767891e-06,-2.01141845703125,2.646785420767891e-06
48,4.461509937901773e-06,3.7392255874419236e-06,3.750814026715142e-06,-2.0037890625,3.750814026715142e-06
49,4.038611481226152e-06,3.908451843389671e-06,4.222965952189086e-06,-1.99615966796875,4.222965952189086e-06
50,2.8749658915566443e-06,3.3319473154269106e-06,3.779798011879214e-06,-1.9885302734375,3.779798011879214e-06
51,1.5552909391989784e-06,2.2246053172083802e-06,2.6296551446005645e-06,-1.98090087890625,2.6296551446005645e-06
52,6.065872712045781e-07,1.098346983604881e-06,1.359693325420311e-06,-1.973271484375,1.359693325420311e-06
53,1.6825540186189506e-07,3.790406092289167e-07,4.863174678587083e-07,-1.96564208984375,4.863174678587083e-07
54,6.621314402730893e-08,1.2902354562046695e-07,1.2917335883102568e-07,-1.9580126953125,1.2917335883102568e-07
55,8.520735297911738e-08,1.445631138721515e-07,9.557493497695387e-08,-1.95038330078125,9.557493497695387e-08
56,1.1672794479332e-07,2.2047622060357617e-07,1.6034689753252365e-07,-1.94275390625,1.6034689753252365e-07
57,1.387973078479923e-07,2.7218987623987235e-07,2.1413346338918495e-07,-1.93512451171875,2.1413346338918495e-07
58,1.5595252249888052e-07,2.946730513970657e-07,2.396160134215817e-07,-1.9274951171875,2.396160134215817e-07
59,1.6624725986881446e-07,2.9898621052351186e-07,2.472342242659052e-07,-1.91986572265625,2.472342242659052e-07
60,1.5664722410333437e-07,2.85320112367344e-07,2.3856971467939927e-07,-1.912236328125,2.3856971467939927e-07
61,1.2105686788402787e-07,2.43200960389086e-07,2.0167486156277272e-07,-1.90460693359375,2.0167486156277272e-07
62,7.623300954691162e-08,1.7232270954760395e-07,1.3386601427094322e-07,-1.8969775390625,1.3386601427094322e-07
63,5.044536071357011e-08,9.910605486038981e-08,6.156883326611901e-08,-1.88934814453125,6.156883326611901e-08
64,6.027605942999694e-08,5.987941380129014e-08,2.5492965290820055e-08,-1.88171875,2.5492965290820055e-08
65,1.0398960435422197e-07,6.919347328526583e-08,4.9081922148891164e-08,-1.87408935546875,4.9081922148891164e-08
66,1.689012912212568e-07,1.1268878206576646e-07,1.2741258847824657e-07,-1.8664599609375,1.2741258847824657e-07
67,2.3598301941847196e-07,1.652015611418526e-07,2.3717554462762126e-07,-1.85883056640625,2.3717554462762126e-07
68,2.833463228341923e-07,2.0676301226386384e-07,3.4545221932318904e-07,-1.851201171875,3.4545221932318904e-07
69,3.010456836815275e-07,2.259077821068181e-07,4.127368985905913e-07,-1.84357177734375,4.127368985905913e-07
70,3.131141475805852e-07,2.206227289082168e-07,4.044040704742645e-07,-1.8359423828125,4.044040704742645e-07
71,3.7889206203686493e-07,2.0284452601233514e-07,3.169443311802262e-07,-1.82831298828125,3.169443311802262e-07
72,5.514433573031382e-07,1.967319302635875e-07,1.9914885684166796e-07,-1.82068359375,1.9914885684166796e-07
73,8.179495542156921e-07,2.208620810508752e-07,1.3554042234635924e-07,-1.81305419921875,1.3554042234635924e-07
74,1.083261659572816e-06,2.663295773096718e-07,1.8861400686063745e-07,-1.8054248046875,1.8861400686063745e-07
75,1.2236708698354724e-06,2.9747717706725523e-07,3.4496966514194933e-07,-1.79779541015625,3.4496966514194933e-07
76,1.1667803143367207e-06,2.813488513356114e-07,5.166066311425244e-07,-1.790166015625,5.166066311425244e-07
77,9.326969661676107e-07,2.1816437319873624e-07,5.99900939811097e-07,-1.78253662109375,5.99900939811097e-07
78,6.144092363568257e-07,1.427067981633004e-07,5.455285202534454e-07,-1.7749072265625,5.455285202534454e-07
79,3.20747616966725e-07,9.62356848720809e-08,3.866162721073275e-07,-1.76727783203125,3.866162721073275e-07
